,14-Mar-20,15-Mar-20,16-Mar-20,17-Mar-20,18-Mar-20,19-Mar-20,20-Mar-20,21-Mar-20,22-Mar-20,23-Mar-20,24-Mar-20,25-Mar-20,26-Mar-20,27-Mar-20,28-Mar-20,29-Mar-20,30-Mar-20,31-Mar-20,01-Apr-20,02-Apr-20,03-Apr-20,04-Apr-20,05-Apr-20,06-Apr-20,07-Apr-20,08-Apr-20,09-Apr-20,10-Apr-20,11-Apr-20,12-Apr-20,13-Apr-20,14-Apr-20,15-Apr-20,16-Apr-20,17-Apr-20,18-Apr-20,19-Apr-20,20-Apr-20,21-Apr-20,22-Apr-20,23-Apr-20,24-Apr-20,25-Apr-20,26-Apr-20,27-Apr-20,28-Apr-20,29-Apr-20,30-Apr-20,01-May-20,02-May-20,03-May-20,04-May-20,05-May-20,06-May-20,07-May-20,08-May-20,09-May-20,10-May-20,11-May-20,12-May-20,13-May-20,14-May-20,15-May-20,16-May-20,17-May-20,18-May-20,19-May-20,20-May-20,21-May-20,22-May-20,23-May-20,24-May-20,25-May-20,26-May-20,27-May-20,28-May-20,29-May-20,30-May-20,31-May-20,01-Jun-20,02-Jun-20,03-Jun-20,04-Jun-20,05-Jun-20,06-Jun-20,07-Jun-20,08-Jun-20,09-Jun-20,10-Jun-20,11-Jun-20,12-Jun-20,13-Jun-20,14-Jun-20,15-Jun-20,16-Jun-20
Andaman And Nicobar,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,1,1,4,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,2,1,3
Andhra Pradesh,1,0,0,0,0,2,0,2,1,1,1,2,1,2,6,2,2,21,67,38,15,28,64,47,11,34,15,18,24,15,19,45,41,9,38,31,44,75,35,56,80,62,61,81,80,82,73,71,60,62,58,67,67,60,56,54,43,50,38,71,48,68,102,48,25,52,57,71,45,62,47,66,106,97,134,128,85,131,110,105,115,180,141,138,210,199,154,69,365,182,207,222,294,304,264
Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,18,5,10,5,4,2,3,6,0,4,6,19,5,3,4,4
Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,7,3,0,0,2,0,1,0,0,1,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,5,0,0,0,0,2,1,8,6,2,1,2,0,15,7,3,3,8,15,42,31,22,15,121,46,156,134,101,97,177,159,123,146,74,271,285,128,230,208,154,215,235,145,263,207,218,191,201
Bihar,0,0,0,0,0,0,0,0,2,1,0,1,3,2,2,4,0,6,3,5,2,1,0,0,6,1,19,2,4,0,2,0,6,11,2,1,10,17,13,17,27,53,28,26,69,20,37,22,41,15,36,11,7,7,8,29,32,96,42,130,74,46,34,145,142,103,96,257,211,179,228,180,163,231,68,149,174,206,242,138,151,230,126,146,233,239,177,208,243,250,148,193,186,187,148
Chandigarh,0,0,0,0,0,1,4,0,1,1,0,0,0,1,0,0,5,2,2,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,3,0,1,0,0,0,1,8,9,11,12,6,14,6,3,5,17,5,11,11,23,4,8,6,4,0,0,0,0,5,3,3,16,1,6,37,4,12,1,10,0,0,4,4,4,0,1,7,3,2,6,6,2,4,13,5,2,5,8
Chattisgarh,0,0,0,0,0,1,0,0,0,0,0,2,3,0,1,0,1,1,0,0,0,1,0,0,0,0,8,0,7,6,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,2,3,0,14,1,1,0,0,0,0,0,0,0,0,1,6,1,18,10,5,14,14,44,42,38,40,68,4,34,17,32,51,49,15,64,147,90,60,150,124,14,51,136,47,105,121,44,69
Daman And Deu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,7,0,0,1,2,4,6,7,0,3,0,5,1,4,9,23,25,23,32,141,93,59,58,22,51,93,51,183,166,85,356,51,17,62,67,186,110,78,75,92,128,138,111,293,190,206,125,76,223,384,427,349,206,428,448,338,224,381,310,406,359,472,425,438,422,299,500,534,571,660,591,508,635,412,792,1024,1105,1163,1295,990,1298,1513,1359,1330,1320,1282,1007,1366,1501,1877,2137,2134,2224,1647,1859
Dadra And Nagar Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,8,3,0,5,1,2,2,5,1,0,5,4,0,15
